#"Step","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
23200,-34130.67759890086,303.9538534037645,0.9821465691384952
23400,-34117.562844626205,307.5884639742301,0.9725883946484895
23600,-34334.138462468,308.38287830955437,0.9706540941065197
23800,-34262.003452355886,303.4475118773756,0.9772751841128073
24000,-34107.43459535397,299.1390146856256,0.9738363889012195
24200,-34042.32673215444,303.88295839298485,0.9805658323619022
24400,-34089.646312834746,303.8034231280026,0.9854297743830843
24600,-34323.65492712952,316.19385521916115,0.9822071685704721
24800,-34500.04161289791,299.96639184523633,0.9835848769672617
25000,-34504.07620846471,294.4532674191273,0.9859294453941179
25200,-34630.53354300662,303.29600407886,0.9916905483980856
25400,-34792.467039593175,300.4888458815425,0.9889597047057961
25600,-34661.99580741369,307.7948326621339,0.9854446761669856
25800,-34634.30030174675,301.535738421285,0.986142127365923
26000,-34478.76936257829,301.84601851035393,0.9923222481352925
26200,-34339.7150255978,300.2471792963536,0.99511234789145
26400,-34250.31852025245,303.6303694498887,0.9966038778663541
26600,-34671.4614388181,303.18834556000326,0.9946559336395678
26800,-34741.94526635715,300.69199314459473,0.994704486934783
27000,-34354.165991399896,295.6390545368471,0.9938331559289896
27200,-34410.62130919665,302.0619346716735,0.9880356496946847
27400,-34256.50409479957,303.40704573465536,0.9851283115412793
27600,-34419.63556595061,297.5093085590524,0.9846412223260236
27800,-34491.558038176496,292.2242731601248,0.982024475253001
28000,-34415.87446654685,298.41808630911316,0.9845869098533099
28200,-34259.988700821734,292.81149593870856,0.9902123585149186
28400,-34364.23877734896,298.88468554843064,1.0139253280122067
28600,-34535.88531164389,291.87344732170266,1.0071154327717735
28800,-34592.909419804615,296.63032217452695,0.9962882900740714
29000,-34501.0977470761,299.3144018715874,1.0003679186492143
29200,-34235.55637715953,301.19422669677687,0.9872281383840694
29400,-34260.75291574631,309.1090991984892,0.9892122597781328
29600,-34210.2407880806,301.6287702455455,0.9871054074811352
29800,-34345.56301242459,299.42269370635154,0.9828039473544306
30000,-34569.29165085739,295.76836545058404,0.9819018498372686
30200,-34511.29191208997,301.5453188951639,0.98396380727282
30400,-34530.98752153038,295.67019797603865,0.9927372570751097
30600,-34517.338567912215,294.8170433808361,1.0049436434730321
30800,-34195.572098286844,300.10904836410214,0.9916072751916644
31000,-34350.536256927975,299.8658365740041,1.0073721639576254
31200,-34289.7213059745,305.9406357491528,1.0063971397097837
31400,-34446.81845868341,301.2688864301713,1.0091949666420768
31600,-34226.91528664289,300.89653698463354,1.0062514298913232
31800,-34317.38982993623,304.37925739884383,0.9983614479041428
32000,-34144.246626615415,313.20404342692484,0.9981817653198335
32200,-34213.52988398893,310.7289572405189,1.0006776818361498
32400,-34262.98516759587,304.13981876493705,1.0025751386377202
32600,-34304.54437539857,309.1902243194946,0.9993786642161356
32800,-34168.294771875066,295.3336532095603,0.9963377613348633
33000,-34107.83960356047,297.6217398051136,0.9850732913328386
33200,-34204.23319989646,309.4676242431139,0.9945680759375982
33400,-34231.826314343896,304.903033323121,0.9867238689099895
33600,-34185.19831867295,308.64031019966706,0.9826017283891781
33800,-34347.67196405362,302.6072667136034,0.985678672041369
34000,-34198.75378218278,301.09005590106665,0.9917279392185737
34200,-34143.20408960983,314.7839156705302,1.0068983945147756
34400,-34168.9956447196,302.9287477360007,0.9925614929490548
34600,-34273.99234689164,306.82581581088635,0.9935998393906769
34800,-34499.684416601696,307.87313505365,0.9998285794816618
35000,-34482.950504890476,298.95254808110843,0.9939618604216325
